mode,mnlc,masc,station,coverage,source,entries_monday,entries_midweek,entries_friday,entries_saturday,entries_sunday,exits_monday,exits_midweek,exits_friday,exits_saturday,exits_sunday,weekly_total,twelve_week_total,annualised_total
LU,690,ROYu,Royal Oak,Station entry/exit,Gateline,3373,3832,3662,2999,2286,3183,3600,3313,2823,2144,46080,526980,2138577
LU,691,RUIu,Ruislip,Station entry/exit,Gateline,2240,2497,2511,1950,1364,2332,2591,2564,1930,1379,31535,360635,1463521
LU,692,RUGu,Ruislip Gardens,Station entry/exit,Gateline,1288,1505,1417,1081,652,1198,1419,1251,1062,663,17381,198778,806675
LU,693,RUMu,Ruislip Manor,Station entry/exit,Gateline,2174,2498,2401,1807,1128,2210,2568,2376,1673,1115,30081,344016,1396078
LU,694,RSQu,Russell Square,Station entry/exit,Gateline,12243,13099,13648,10296,8031,12465,13511,14251,10232,7564,168559,1927673,7822836
LU,698,SVSu,Seven Sisters,Station entry/exit,Gateline,18647,20517,20832,17791,13157,18246,20598,20569,16753,12792,262130,2997759,12165434
LU,700,SBCu,Shepherd's Bush LU,Station entry/exit,Gateline,17577,21136,20444,22566,12928,16890,20000,19258,21452,12089,266611,3049010,12373422
LU,775,SBMu,Shepherd's Bush Market,Station entry/exit,Gateline,4552,5508,5664,5695,3270,4340,5352,5211,4955,3043,69311,792651,3216718
LU,702,SSQu,Sloane Square,Station entry/exit,Gateline,19146,23752,22946,18359,11552,19161,23513,22016,17020,11485,283479,3241919,13156281
LU,703,SNBu,Snaresbrook,Station entry/exit,Gateline,3024,3336,3238,2402,1588,2937,3246,2910,2369,1649,39860,455842,1849887
LU,704,SELu,South Ealing,Station entry/exit,Gateline,3733,3270,3248,2827,1980,3724,1790,1688,1825,1641,35845,409927,1663555
LU,707,SHRu,South Harrow,Station entry/exit,Gateline,3318,3398,3329,3198,1956,3336,3293,3255,3548,1995,44010,503302,2042489
LU,708,SKNu,South Kensington,Station entry/exit,Gateline,37141,43331,45122,38291,29421,37832,42786,46006,39948,30029,562140,6428726,26088906
LU,709,SKTu,South Kenton,Station entry/exit,Manual Count,1213,1618,1523,977,713,600,1519,1492,985,767,17681,202203,820575
LU,710,SRPu,South Ruislip,Station entry/exit,Gateline,2367,2706,2509,2293,982,2329,2672,2427,2078,1273,32392,370439,1503305
LU,711,SWMu,South Wimbledon,Station entry/exit,Gateline,5452,6293,6193,5231,3537,5309,6064,6152,5239,3581,77764,889325,3609039
LU,712,SWFu,South Woodford,Station entry/exit,Gateline,6079,6967,6772,5573,3544,6356,7362,6649,5644,3692,87295,998326,4051381
LU,705,SFSu,Southfields,Station entry/exit,Gateline,7824,9057,8432,5128,4087,7428,8561,7448,4716,4029,101944,1165852,4731235
LU,706,SGTu,Southgate,Station entry/exit,Gateline,5915,6717,6231,5467,3784,6081,6970,6912,5629,3976,85057,972730,3947509
LU,784,SWKu,Southwark,Station entry/exit,Gateline,12978,16336,13075,9335,6207,13671,16812,13378,9528,5723,183338,2096682,8508705
LU,695,SJPu,St. James's Park,Station entry/exit,Gateline,14868,18774,15001,8283,6546,15603,19197,16357,7826,7033,205431,2349349,9534074
LU,696,SJWu,St. John's Wood,Station entry/exit,Gateline,9313,10238,9987,6761,5445,9631,10578,10365,6880,5656,126486,1446515,5870213
LU,697,STPu,St. Paul's,Station entry/exit,Gateline,14235,17594,13930,11269,7025,14451,17882,13829,10392,6441,197998,2264339,9189088
LU,713,STBu,Stamford Brook,Station entry/exit,Gateline,3334,4010,3662,2602,1942,3258,3842,3482,2333,1824,45994,525998,2134593
LU,714,STAu,Stanmore,Station entry/exit,Gateline,4714,5205,4957,3737,3232,4618,5243,4988,3750,3364,64705,739982,3002979
LU,715,STGu,Stepney Green,Station entry/exit,Gateline,8913,9248,9125,5535,4343,8983,9195,8573,5439,4378,110616,1265026,5133701
LU,716,STKu,Stockwell,Station entry/exit,Gateline,10775,13141,13083,12691,8019,9955,11377,11821,11431,7709,159040,1818810,7381051
LU,717,SPKu,Stonebridge Park,Station entry/exit,Gateline,4026,4373,4297,3069,1995,3880,4076,4061,2794,1941,51410,587935,2385943
LU,719,SFDu,Stratford,Station entry/exit,Gateline,77595,86452,85539,85167,72138,78815,88129,87703,87807,73142,1171649,13399176,54376225
LU,720,SHLu,Sudbury Hill,Station entry/exit,Gateline,2787,2939,2814,1754,1251,2777,2934,2662,2044,1447,35158,402076,1631696
LU,721,STNu,Sudbury Town,Station entry/exit,Gateline,2777,2844,2852,2226,1266,2572,2527,2527,1863,1312,33507,383192,1555062
LU,723,SWCu,Swiss Cottage,Station entry/exit,Gateline,8467,9320,9030,6291,4790,8420,9257,9006,6310,4789,112832,1290370,5236551
LU,724,TEMu,Temple,Station entry/exit,Gateline,11349,13889,10927,6283,2907,12181,15189,12598,5528,2891,151899,1737144,7049636
LU,725,THBu,Theydon Bois,Station entry/exit,Gateline,1109,1310,1190,1074,761,1070,1242,1139,1031,796,15822,180943,734300
LU,726,TBEu,Tooting Bec,Station entry/exit,Gateline,8999,10971,10345,9832,6258,8891,10752,9784,9117,6602,134997,1543849,6265211
LU,727,TBYu,Tooting Broadway,Station entry/exit,Gateline,18228,21092,21939,19108,11912,18032,20974,21371,18352,11989,267128,3054924,12397420
LU,728,TCRu,Tottenham Court Road,Station entry/exit,Gateline,76971,98353,96936,101538,55385,76687,101483,99221,102928,56204,1265377,14471069,58726155
LU,729,TTHu,Tottenham Hale LU,Station entry/exit,Gateline,19894,22397,21686,21799,16562,19260,20773,20716,20624,15232,285282,3262533,13239937
LU,730,TOTu,Totteridge & Whetstone,Station entry/exit,Gateline,3097,3629,3258,2716,1801,2936,3535,3202,2540,1821,42866,490220,1989399
LU,731,THLu,Tower Hill,Station entry/exit,Gateline,23546,23885,24471,19258,17176,24591,25202,26861,22221,17080,322465,3687769,14965619
LU,733,TPKu,Tufnell Park,Station entry/exit,Gateline,6619,8474,8489,7690,4975,6494,8333,8040,7176,5159,105063,1201520,4875982
LU,734,TGRu,Turnham Green,Station entry/exit,Gateline,6824,8098,7674,6061,4700,6948,8316,8073,6255,4703,100481,1149114,4663306
LU,735,TPLu,Turnpike Lane,Station entry/exit,Gateline,11732,12929,13564,11949,8384,12261,13708,13475,11446,8553,171276,1958737,7948900
LU,736,UPMu,Upminster,Station entry/exit,Gateline,6957,8470,6883,5329,3468,7956,9681,7884,5875,4062,102867,1176401,4774045
LU,737,UPBu,Upminster Bridge,Station entry/exit,Gateline,1449,1672,1393,815,459,1467,1656,1386,641,482,18076,206723,838918
LU,738,UPYu,Upney,Station entry/exit,Gateline,3903,4181,3996,2298,1930,3465,3689,3428,2057,1709,46394,530573,2153159
LU,739,UPKu,Upton Park,Station entry/exit,Gateline,14060,14868,14837,10815,9249,13516,14190,13922,10488,8901,182962,2092386,8491273
LU,740,UXBu,Uxbridge,Station entry/exit,Gateline,9381,10043,9332,6232,3653,9368,9977,9265,5790,3692,116775,1335454,5419509
LU,777,VUXu,Vauxhall LU,Station entry/exit,Gateline,29877,37466,34585,30645,23120,29680,34839,33202,26576,22947,447544,5118189,20770515
LU,741,VICu,Victoria LU,Station entry/exit,Gateline,83222,97548,93795,91543,67258,87212,105440,94113,87480,70026,1283615,14679639,59572570
LU,742,WALu,Walthamstow Central,Station entry/exit,Gateline,19882,22828,22195,19661,13789,19940,22736,22082,19444,13963,287647,3289577,13349683
LU,743,WANu,Wanstead,Station entry/exit,Gateline,2827,3287,3114,2721,1935,2950,3551,3250,2677,1990,41979,480077,1948236
LU,745,WSTu,Warren Street,Station entry/exit,Gateline,22577,26908,22472,13829,9169,23690,28032,23926,13647,9177,303307,3468667,14076462
LU,746,WARu,Warwick Avenue,Station entry/exit,Gateline,4513,5341,5115,4351,2909,4522,5164,4763,4230,3140,65059,744029,3019402
LU,747,WLOu,Waterloo LU,Station entry/exit,Gateline,98947,141146,104826,93708,52363,95090,133565,100979,89806,55545,1515396,17330333,70329553
LU,748,WATu,Watford,Station entry/exit,Gateline,2868,3224,2899,1350,1092,2893,3190,2893,1330,1063,35630,407470,1653584
LU,751,WEMu,Wembley Central,Station entry/exit,Gateline,7048,7290,7838,6915,4345,7597,7889,8294,6961,4562,99095,1133266,4598994
LU,752,WPKu,Wembley Park,Station entry/exit,Gateline,23084,24729,29829,23595,17567,22854,24315,29940,22897,17319,334216,3822154,15510977
LU,753,WACu,West Acton,Station entry/exit,Gateline,1666,1919,1782,1437,919,1664,1825,1749,1374,968,22789,260617,1057631
LU,755,WBTu,West Brompton,Station entry/exit,Gateline,8346,8176,8438,9031,5435,8671,8799,7712,8191,4892,111640,1276734,5181211
LU,756,WFYu,West Finchley,Station entry/exit,Gateline,2101,2512,2128,1641,1106,2002,2316,1947,1439,1093,27942,319547,1296777
LU,757,WHMu,West Ham,Station entry/exit,Gateline,8846,9717,9266,6626,4359,8702,9417,9038,6480,4322,115039,1315605,5338957
LU,758,WHDu,West Hampstead LU,Station entry/exit,Gateline,11592,13560,12627,10292,7013,11040,12660,11767,9574,6679,159243,1821133,7390480
LU,759,WHRu,West Harrow,Station entry/exit,Gateline,1606,1543,1811,1335,812,1759,1796,1863,1366,1054,21623,247284,1003523
LU,760,WKNu,West Kensington,Station entry/exit,Gateline,5591,6606,6470,6304,3947,5365,6163,5849,5527,3732,81093,927393,3763523
LU,762,WRPu,West Ruislip,Station entry/exit,Gateline,1832,2097,1884,2082,1081,1833,2094,1848,1892,1092,26118,298686,1212120
LU,754,WBPu,Westbourne Park,Station entry/exit,Gateline,5618,6317,6423,5223,3292,5166,5949,5802,4657,3077,76056,869795,3529781
LU,761,WMSu,Westminster,Station entry/exit,Gateline,26801,30749,29255,32514,21822,27831,32555,30777,32850,21352,413113,4724430,19172572
LU,764,WCTu,White City,Station entry/exit,Gateline,11903,14791,11941,9725,6705,11917,14549,12046,10726,7038,170021,1944388,7890670
LU,763,WCLu,Whitechapel,Station entry/exit,Gateline,28763,30362,29419,22806,14970,28982,30521,29605,23470,15378,376044,4300502,17452196
LU,765,WLGu,Willesden Green,Station entry/exit,Gateline,8480,9340,9432,7572,5539,8325,9177,9224,7294,5508,116925,1337176,5426495
LU,766,WJNu,Willesden Junction,Station entry/exit,Gateline,7071,7806,7589,5765,3566,6917,7446,7196,5470,3774,93105,1064767,4321012
LU,767,WIMu,Wimbledon,Boarding/alighting,Manual Count,17068,19113,18228,20178,10237,16458,18749,17332,18206,10549,241842,2765747,11223888
LU,768,WMPu,Wimbledon Park,Station entry/exit,Gateline,2993,3219,3076,2795,1500,2966,3167,2967,2677,1554,39683,453819,1841679
LU,770,WGNu,Wood Green,Station entry/exit,Gateline,13593,14917,16265,14642,9563,13222,14573,16396,14311,9360,195821,2239442,9088053
LU,599,WDLu,Wood Lane,Station entry/exit,Gateline,6644,7949,7412,8723,4528,7116,8541,7967,8876,5038,105775,1209663,4909025
LU,769,WFDu,Woodford,Station entry/exit,Gateline,6943,8049,7803,6211,4041,6815,7914,7257,5820,4016,96796,1106974,4492296
LU,771,WSPu,Woodside Park,Station entry/exit,Gateline,4833,4667,4360,3443,2353,8155,7931,7605,5675,4587,78802,901198,3657219
