mode,mnlc,masc,station,coverage,source,entries_monday,entries_midweek,entries_friday,entries_saturday,entries_sunday,exits_monday,exits_midweek,exits_friday,exits_saturday,exits_sunday,weekly_total,twelve_week_total,annualised_total
LU,547,CPCu,Clapham Common,Station entry/exit,Gateline,10050,12472,12842,14141,8197,11032,13935,13667,15100,8989,173240,1981200,8040059
LU,548,CPNu,Clapham North,Station entry/exit,Gateline,6805,8061,9087,9313,5239,7222,8804,8932,9681,5404,112280,1284056,5210928
LU,549,CPSu,Clapham South,Station entry/exit,Gateline,9081,11319,10374,9364,5678,9220,11231,9875,9005,6006,136253,1558214,6323510
LU,550,CFSu,Cockfosters,Station entry/exit,Gateline,2057,2346,2369,2496,1510,2051,2409,2392,2460,1649,31249,357364,1450247
LU,551,COLu,Colindale,Station entry/exit,Gateline,10120,11203,10696,8454,6269,9857,10897,10220,7994,6147,136058,1555978,6314434
LU,552,CLWu,Colliers Wood,Station entry/exit,Gateline,8039,9190,9136,8342,5693,7800,8798,8653,7798,5625,115049,1315718,5339416
LU,553,COVu,Covent Garden,Station entry/exit,Gateline,14145,17681,18221,22652,14622,16696,20531,22051,30628,17279,270929,3098390,12573815
LU,554,CRXu,Croxley,Station entry/exit,Gateline,1449,1684,1379,751,436,1422,1669,1362,716,471,18046,206372,837496
LU,555,DGEu,Dagenham East,Station entry/exit,Gateline,4590,4892,4622,3218,2400,4261,4577,4348,2888,2270,57004,651907,2645552
LU,556,DGHu,Dagenham Heathway,Station entry/exit,Gateline,8095,8694,8515,5702,4040,7944,8564,8360,5554,4040,104024,1189639,4827763
LU,557,DEBu,Debden,Station entry/exit,Gateline,3176,3532,3132,1970,1227,3107,3439,2982,1897,1264,39669,453661,1841035
LU,558,DHLu,Dollis Hill,Station entry/exit,Gateline,5097,5503,5408,4232,3113,4687,4961,4870,3846,2942,65587,750064,3043893
LU,560,EBYu,Ealing Broadway,Station entry/exit,Gateline,22063,25758,24877,21081,14778,24870,27290,25426,22951,17265,332452,3801975,15429088
LU,561,ECMu,Ealing Common,Station entry/exit,Gateline,2935,3338,3294,2762,1962,3001,3411,3290,2614,2015,42123,481721,1954910
LU,562,ECTu,Earl's Court,Station entry/exit,Gateline,23468,25726,26109,23500,19063,23245,25919,26894,24498,18294,340007,3888374,15779710
LU,563,EACu,East Acton,Station entry/exit,Gateline,5019,5594,5225,3931,2734,5095,5606,5187,3983,2689,67462,771506,3130908
LU,565,EFYu,East Finchley,Station entry/exit,Gateline,8026,9555,8330,6966,4609,7948,9374,8011,6607,4720,112004,1280894,5198096
LU,566,EHMu,East Ham,Station entry/exit,Gateline,17788,18335,18454,14959,12043,17317,17967,17666,13854,11448,232437,2658187,10787392
LU,567,EPYu,East Putney,Station entry/exit,Gateline,8923,10176,9622,8084,5810,8943,10149,9052,7408,5845,124658,1425606,5785361
LU,564,ETEu,Eastcote,Station entry/exit,Gateline,3472,3971,3582,2858,1667,3393,3937,3475,2660,1671,46501,531796,2158123
LU,568,EDGu,Edgware,Station entry/exit,Gateline,6586,7017,6680,5344,3894,6598,7009,6685,5423,3767,87052,995537,4040066
LU,774,ERBu,Edgware Road (Bak),Station entry/exit,Gateline,5104,5596,5432,5901,3403,5189,6004,5728,5177,3448,74182,848354,3442771
LU,569,ERDu,Edgware Road (DIS),Station entry/exit,Gateline,8663,10012,9268,8078,5788,8507,9760,9120,8007,5563,122308,1398736,5676320
LU,570,ELEu,Elephant & Castle LU,Station entry/exit,Gateline,21000,25283,24005,22126,15005,20187,23304,22964,21126,14573,306745,3507992,14236050
LU,571,EPKu,Elm Park,Station entry/exit,Gateline,4226,4841,4166,2836,1916,4089,4741,4091,2797,1923,54791,626594,2542830
LU,542,EMBu,Embankment,Station entry/exit,Gateline,21973,28762,26468,31414,19679,21598,28321,26034,30847,18143,367405,4201706,17051267
LU,572,EPPu,Epping,Station entry/exit,Manual Count,4667,5343,5457,5730,3453,4656,5434,5099,5229,3972,70594,807325,3276268
LU,574,EUSu,Euston LU,Station entry/exit,Gateline,41115,50032,48535,45359,34321,41734,50663,52559,46428,33522,645660,7383875,29965071
LU,575,ESQu,Euston Square,Station entry/exit,Gateline,18161,20811,17750,10271,8161,19293,22315,19845,10497,8818,242175,2769556,11239346
LU,576,FLPu,Fairlop,Station entry/exit,Gateline,1441,1621,1437,1280,776,1374,1502,1372,1252,786,19087,218281,885823
