station_id,station_name,latitude,longitude,zone,lines
940GZZLUOXC,Oxford Circus,51.515224,-0.141903,1,Bakerloo|Central|Victoria
940GZZLUPAC,Paddington,51.516581,-0.175689,1,Bakerloo|Circle|District
940GZZLUPAH,Paddington (H&C Line)-Underground,51.518187,-0.178306,1,Circle|Hammersmith & City
940GZZLUPKR,Park Royal,51.527123,-0.284341,3,Piccadilly
940GZZLUPSG,Parsons Green,51.475277,-0.20117,2,District
940GZZLUPVL,Perivale,51.536717,-0.323446,4,Central
940GZZLUPCC,Piccadilly Circus,51.51005,-0.133798,1,Bakerloo|Piccadilly
940GZZLUPCO,Pimlico,51.489097,-0.133761,1,Victoria
940GZZLUPNR,Pinner,51.592901,-0.381161,5,Metropolitan
940GZZLUPLW,Plaistow,51.531341,0.017451,3,District|Hammersmith & City
940GZZLUPRD,Preston Road,51.571972,-0.295107,4,Metropolitan
940GZZLUPYB,Putney Bridge,51.468262,-0.208731,2,District
940GZZLUQPS,Queen's Park,51.534158,-0.204574,2,Bakerloo
940GZZLUQBY,Queensbury,51.594188,-0.286219,4,Jubilee
940GZZLUQWY,Queensway,51.510312,-0.187152,1,Central
940GZZLURVP,Ravenscourt Park,51.494122,-0.235881,2,District
940GZZLURYL,Rayners Lane,51.575147,-0.371127,5,Metropolitan|Piccadilly
940GZZLURBG,Redbridge,51.576243,0.04536,4,Central
940GZZLURGP,Regent's Park,51.523344,-0.146444,1,Bakerloo
940GZZLURMD,Richmond,51.463237,-0.301336,4,District
940GZZLURKW,Rickmansworth,51.640207,-0.473703,7,Metropolitan
940GZZLURVY,Roding Valley,51.617199,0.043647,4,Central
940GZZLURYO,Royal Oak,51.519113,-0.188748,2,Circle|Hammersmith & City
940GZZLURSP,Ruislip,51.571354,-0.421898,6,Metropolitan|Piccadilly
940GZZLURSG,Ruislip Gardens,51.560736,-0.41071,5,Central
940GZZLURSM,Ruislip Manor,51.573202,-0.412973,6,Metropolitan|Piccadilly
940GZZLURSQ,Russell Square,51.523073,-0.124285,1,Piccadilly
940GZZLUSVS,Seven Sisters,51.58333,-0.072584,3,Victoria
940GZZLUSBC,Shepherd's Bush (Central),51.504376,-0.218813,2,Central
940GZZLUSBM,Shepherd's Bush Market,51.505579,-0.226375,2,Circle|Hammersmith & City
940GZZLUSSQ,Sloane Square,51.49227,-0.156377,1,Circle|District
940GZZLUSNB,Snaresbrook,51.580678,0.02144,4,Central
